id,type,text1,text2,text3,notes
kyeltziv_targetingDrone,SHIP,- shipsystem drone,,,
kyeltziv_spotterDrone,SHIP,- shipsystem drone,,,
kyeltziv_piperDrone,SHIP,- shipsystem drone,,,
kyeltziv_heavyTargetingDrone,SHIP,- shipsystem drone,,,
kyeltziv_heavySpotterDrone,SHIP,- shipsystem drone,,,
kyeltziv_heavyPiperDrone,SHIP,- shipsystem drone,,,
kyeltziv_kutittaa,SHIP,- shipsystem drone,,,
kyeltziv_loinen,SHIP,- shipsystem drone,,,
kyeltziv_lakeija,SHIP,- shipsystem drone,,,
kyeltziv_raataja,SHIP,- shipsystem drone,,,
kyeltziv_expPdDrone,SHIP,- shipsystem drone,,,
kyeltziv_tuike,SHIP,- shipsystem drone,,,
kyeltziv_sorkkia,SHIP,- shipsystem drone,,,
kyeltziv_kiusa,SHIP,- shipsystem drone,,,
kyeltziv_symDrone,SHIP,- shipsystem drone,,,
kyeltziv_heavySymDrone,SHIP,- shipsystem drone,,,
kyeltziv_kohta,SHIP,- shipsystem drone,,,
kyeltziv_salpa,SHIP,- shipsystem drone,,,
,,,,,
kyeltziv_stachys,SHIP,"This lightweight, high-speed interceptor drone is designed to overwhelm hostile fighters with its sheer volume of missile and particle discharger fire. This intense barrage can also prove effective against frigates and even larger ships, provided they lack robust point-defense systems.",,,
kyeltziv_cirsium,SHIP,"An advanced Kyeltziv escort interceptor drone, equipped with paired burst rifles and a pack of shock missiles, can easily neutralize even the toughest strikecraft.",,,
kyeltziv_ophrys,SHIP,"An atypical interception craft, its heavy chassis provides the survivability needed to endure enemy fire while efficiently dispatching other strikecraft with its diverse arsenal. The craft's core has been meticulously tuned to optimize point-defense targeting performance, making the Ophrys a formidable threat to strikecraft and missiles alike.",,,
kyeltziv_asteryx,SHIP,"The fighter is equipped with a shock weapon capable of overwhelming shield emitters. Its powerful engines make it a highly responsive escort, able to quickly adjust to new targets and proving difficult to dislodge once engaged.",,,
kyeltziv_ilex,SHIP,The Ilex is an assault fighter more than capable of dealing heavy damage to unshielded targets. Its paired chaff dispensing systems significantly increase its survivability against hostile point defense fire.,,,
kyeltziv_prinos,SHIP,"The Prinos is an export variant of the Asteryx, and as such, it lacks some of the advanced systems featured in the original. While the change to an IR Pulse laser from the more advanced Kyeltziv weaponry might seem like a direct downgrade, it can be advantageous in certain situations.",,,
kyeltziv_vahlia,SHIP,"A specialized assault corvette designed to latch onto targets and wear down their defenses, leaving them vulnerable to be finished off by other vessels. Power from the craft's core has been diverted to enable limited self-repair capabilities and enhanced targeting of enemy weapon systems.",,,
kyeltziv_helianthus,SHIP,"While lacking the raw damage of a more conventional bomber, the Helianthus compensates with three key advantages: guided munitions, a high quantity of munitions per strike, and a consistent damage profile against both shields and armor.",,,
kyeltziv_cynara,SHIP,"Featuring a paired strike package of both Shock cannon fire and Halke missiles, the Cynara is capable of delivering a highly effective strike on any target. The craft's core has been fine-tuned to enhance weapon performance against both shields and armor.",,,
kyeltziv_pereskia,SHIP,"An unusual craft, the Pereskia is designed with a singular purpose: distracting hostile point defenses. It excels in its intended role, but practical utilization of the openings it creates can be tricky.",,,
